C,Wm/K,m2/s,prandtl
-73,1.809,7.53E-06,0.736
-48,2.02,9.35E-06,0.728
-23,2.227,1.13E-05,0.72
2,2.428,1.34E-05,0.713
27,2.624,1.57E-05,0.707
52,2.816,1.81E-05,0.701
77,3.003,2.06E-05,0.697
102,3.186,2.32E-05,0.692
127,3.365,2.59E-05,0.688
177,3.71,3.17E-05,0.684
227,4.041,3.78E-05,0.68
277,4.357,4.44E-05,0.68
327,4.661,5.13E-05,0.68
377,4.954,5.85E-05,0.682
427,5.236,6.61E-05,0.684
477,5.509,7.34E-05,0.687
527,5.774,8.21E-05,0.69
577,6.03,9.06E-05,0.693
627,6.276,9.94E-05,0.696
677,6.52,1.08E-04,0.699
727,6.754,1.18E-04,0.702
777,6.985,1.27E-04,0.704
827,7.209,1.37E-04,0.707
877,7.427,1.47E-04,0.709
927,7.64,1.57E-04,0.711
977,7.849,1.68E-04,0.713
1027,8.054,1.79E-04,0.715
1077,8.253,1.89E-04,0.717
1127,8.45,2.01E-04,0.719
