C,kJ/kgK,PaS,kg/m^3
20,4.1844,0.0010016,998.2067
25,4.1816,0.00089,997.047
30,4.1801,0.0007972,995.6488
40,4.1796,0.0006527,992.2152
50,4.1815,0.0005465,988.04
60,4.1851,0.000466,983.2
70,4.1902,0.0004035,977.76
80,4.1969,0.000354,971.79
90,4.2053,0.0003142,965.31
100,4.2157,0.0002816,958.35
110,4.2283,0.0002546,950.95
120,4.2435,0.000232,943.11
140,4.2826,0.0001966,926.13
160,4.3354,0.0001704,907.45
180,4.405,0.0001504,887
200,4.4958,0.0001346,864.66
220,4.6146,0.0001218,840.22
240,4.7719,0.0001111,813.37
260,4.9856,0.0001018,783.63
280,5.2889,0.0000936,750.28
300,5.7504,0.0000859,712.14
320,6.5373,0.0000783,667.09
340,8.208,0.0000703,610.67
360,15.004,0.0000603,527.59
